	ORF	Gene	SGDID	GO_Aspect	GO_Slim_Term	GOID	Feature_type	Feature_typed_Filtered
16637	YGR277C	CAB4	S000003509	P	cofactor metabolic process	GO:0051186	ORF|Verified	True
16638	YGR277C	CAB4	S000003509	P	nucleobase-containing small molecule metabolic process	GO:0055086	ORF|Verified	True
16641	YGR278W	CWC22	S000003510	P	RNA splicing	GO:0008380	ORF|Verified	True
16642	YGR278W	CWC22	S000003510	P	mRNA processing	GO:0006397	ORF|Verified	True
16651	YGR279C	SCW4	S000003511	P	conjugation	GO:0000746	ORF|Verified	True
16655	YGR280C	PXR1	S000003512	P	regulation of DNA metabolic process	GO:0051052	ORF|Verified	True
16656	YGR280C	PXR1	S000003512	P	regulation of organelle organization	GO:0033043	ORF|Verified	True
16657	YGR280C	PXR1	S000003512	P	snoRNA processing	GO:0043144	ORF|Verified	True
16658	YGR280C	PXR1	S000003512	P	telomere organization	GO:0032200	ORF|Verified	True
16671	YGR282C	BGL2	S000003514	P	cell wall organization or biogenesis	GO:0071554	ORF|Verified	True
16685	YGR284C	ERV29	S000003516	P	Golgi vesicle transport	GO:0048193	ORF|Verified	True
16692	YGR285C	ZUO1	S000003517	P	nuclear transport	GO:0051169	ORF|Verified	True
16693	YGR285C	ZUO1	S000003517	P	protein folding	GO:0006457	ORF|Verified	True
16694	YGR285C	ZUO1	S000003517	P	rRNA processing	GO:0006364	ORF|Verified	True
16695	YGR285C	ZUO1	S000003517	P	regulation of translation	GO:0006417	ORF|Verified	True
16696	YGR285C	ZUO1	S000003517	P	ribosomal subunit export from nucleus	GO:0000054	ORF|Verified	True
16697	YGR285C	ZUO1	S000003517	P	translational elongation	GO:0006414	ORF|Verified	True
16701	YGR286C	BIO2	S000003518	P	cofactor metabolic process	GO:0051186	ORF|Verified	True
16702	YGR286C	BIO2	S000003518	P	monocarboxylic acid metabolic process	GO:0032787	ORF|Verified	True
16703	YGR286C	BIO2	S000003518	P	vitamin metabolic process	GO:0006766	ORF|Verified	True
16709	YGR287C	IMA1	S000003519	P	carbohydrate metabolic process	GO:0005975	ORF|Verified	True
16710	YGR287C	IMA1	S000003519	P	oligosaccharide metabolic process	GO:0009311	ORF|Verified	True
16713	YGR288W	MAL13	S000003520	P	carbohydrate metabolic process	GO:0005975	ORF|Verified	True
16716	YGR289C	MAL11	S000003521	P	carbohydrate metabolic process	GO:0005975	ORF|Verified	True
16717	YGR289C	MAL11	S000003521	P	carbohydrate transport	GO:0008643	ORF|Verified	True
16718	YGR289C	MAL11	S000003521	P	oligosaccharide metabolic process	GO:0009311	ORF|Verified	True
16729	YGR292W	MAL12	S000003524	P	carbohydrate metabolic process	GO:0005975	ORF|Verified	True
16730	YGR292W	MAL12	S000003524	P	oligosaccharide metabolic process	GO:0009311	ORF|Verified	True
16736	YGR294W	PAU12	S000003526	P	biological_process	GO:0008150	ORF|Verified	True
16743	YGR295C	COS6	S000003527	P	endosomal transport	GO:0016197	ORF|Verified	True
16744	YGR295C	COS6	S000003527	P	protein targeting	GO:0006605	ORF|Verified	True
16745	YGR295C	COS6	S000003527	P	proteolysis involved in cellular protein catabolic process	GO:0051603	ORF|Verified	True
16755	YGR296W	YRF1-3	S000003528	P	DNA recombination	GO:0006310	ORF|Verified	True
16756	YGR296W	YRF1-3	S000003528	P	telomere organization	GO:0032200	ORF|Verified	True
16762	YHL001W	RPL14B	S000000993	P	cytoplasmic translation	GO:0002181	ORF|Verified	True
16770	YHL002W	HSE1	S000000994	P	endosomal transport	GO:0016197	ORF|Verified	True
16771	YHL002W	HSE1	S000000994	P	ion transport	GO:0006811	ORF|Verified	True
16772	YHL002W	HSE1	S000000994	P	nucleobase-containing compound transport	GO:0015931	ORF|Verified	True
16773	YHL002W	HSE1	S000000994	P	protein targeting	GO:0006605	ORF|Verified	True
16779	YHL003C	LAG1	S000000995	P	lipid metabolic process	GO:0006629	ORF|Verified	True
16785	YHL004W	MRP4	S000000996	P	mitochondrial translation	GO:0032543	ORF|Verified	True
16786	YHL004W	MRP4	S000000996	P	mitochondrion organization	GO:0007005	ORF|Verified	True
16794	YHL006C	SHU1	S000000998	P	DNA recombination	GO:0006310	ORF|Verified	True
16795	YHL006C	SHU1	S000000998	P	DNA repair	GO:0006281	ORF|Verified	True
16796	YHL006C	SHU1	S000000998	P	cellular response to DNA damage stimulus	GO:0006974	ORF|Verified	True
16810	YHL007C	STE20	S000000999	P	cell budding	GO:0007114	ORF|Verified	True
16811	YHL007C	STE20	S000000999	P	conjugation	GO:0000746	ORF|Verified	True
16812	YHL007C	STE20	S000000999	P	cytokinesis	GO:0000910	ORF|Verified	True
16813	YHL007C	STE20	S000000999	P	invasive growth in response to glucose limitation	GO:0001403	ORF|Verified	True
16814	YHL007C	STE20	S000000999	P	lipid transport	GO:0006869	ORF|Verified	True
16815	YHL007C	STE20	S000000999	P	mitotic cell cycle	GO:0000278	ORF|Verified	True
16816	YHL007C	STE20	S000000999	P	organelle assembly	GO:0070925	ORF|Verified	True
16817	YHL007C	STE20	S000000999	P	organelle fission	GO:0048285	ORF|Verified	True
16818	YHL007C	STE20	S000000999	P	organelle inheritance	GO:0048308	ORF|Verified	True
16819	YHL007C	STE20	S000000999	P	protein phosphorylation	GO:0006468	ORF|Verified	True
16820	YHL007C	STE20	S000000999	P	pseudohyphal growth	GO:0007124	ORF|Verified	True
16821	YHL007C	STE20	S000000999	P	regulation of cell cycle	GO:0051726	ORF|Verified	True
16822	YHL007C	STE20	S000000999	P	regulation of organelle organization	GO:0033043	ORF|Verified	True
16823	YHL007C	STE20	S000000999	P	regulation of protein modification process	GO:0031399	ORF|Verified	True
16824	YHL007C	STE20	S000000999	P	regulation of transport	GO:0051049	ORF|Verified	True
16825	YHL007C	STE20	S000000999	P	response to chemical	GO:0042221	ORF|Verified	True
16826	YHL007C	STE20	S000000999	P	response to heat	GO:0009408	ORF|Verified	True
16827	YHL007C	STE20	S000000999	P	response to osmotic stress	GO:0006970	ORF|Verified	True
16828	YHL007C	STE20	S000000999	P	signaling	GO:0023052	ORF|Verified	True
16829	YHL007C	STE20	S000000999	P	transcription from RNA polymerase II promoter	GO:0006366	ORF|Verified	True
16830	YHL007C	STE20	S000000999	P	vacuole organization	GO:0007033	ORF|Verified	True
16839	YHL009C	YAP3	S000001001	P	transcription from RNA polymerase II promoter	GO:0006366	ORF|Verified	True
16842	YHL010C	ETP1	S000001002	P	response to chemical	GO:0042221	ORF|Verified	True
16845	YHL011C	PRS3	S000001003	P	cell wall organization or biogenesis	GO:0071554	ORF|Verified	True
16852	YHL013C	OTU2	S000001005	P	biological_process	GO:0008150	ORF|Verified	True
16856	YHL014C	YLF2	S000001006	P	biological_process	GO:0008150	ORF|Verified	True
16863	YHL015W	RPS20	S000001007	P	cytoplasmic translation	GO:0002181	ORF|Verified	True
16864	YHL015W	RPS20	S000001007	P	rRNA processing	GO:0006364	ORF|Verified	True
16865	YHL015W	RPS20	S000001007	P	ribosomal small subunit biogenesis	GO:0042274	ORF|Verified	True
16875	YHL016C	DUR3	S000001008	P	ion transport	GO:0006811	ORF|Verified	True
16892	YHL019C	APM2	S000001011	P	Golgi vesicle transport	GO:0048193	ORF|Verified	True
16904	YHL020C	OPI1	S000001012	P	lipid metabolic process	GO:0006629	ORF|Verified	True
16905	YHL020C	OPI1	S000001012	P	response to chemical	GO:0042221	ORF|Verified	True
16906	YHL020C	OPI1	S000001012	P	signaling	GO:0023052	ORF|Verified	True
16907	YHL020C	OPI1	S000001012	P	transcription from RNA polymerase II promoter	GO:0006366	ORF|Verified	True
16911	YHL021C	AIM17	S000001013	P	mitochondrion organization	GO:0007005	ORF|Verified	True
16917	YHL022C	SPO11	S000001014	P	meiotic cell cycle	GO:0051321	ORF|Verified	True
16918	YHL022C	SPO11	S000001014	P	organelle fission	GO:0048285	ORF|Verified	True
16923	YHL023C	NPR3	S000001015	P	meiotic cell cycle	GO:0051321	ORF|Verified	True
16924	YHL023C	NPR3	S000001015	P	organelle assembly	GO:0070925	ORF|Verified	True
16925	YHL023C	NPR3	S000001015	P	organelle fission	GO:0048285	ORF|Verified	True
16926	YHL023C	NPR3	S000001015	P	pseudohyphal growth	GO:0007124	ORF|Verified	True
16927	YHL023C	NPR3	S000001015	P	regulation of organelle organization	GO:0033043	ORF|Verified	True
16928	YHL023C	NPR3	S000001015	P	response to starvation	GO:0042594	ORF|Verified	True
16929	YHL023C	NPR3	S000001015	P	signaling	GO:0023052	ORF|Verified	True
16930	YHL023C	NPR3	S000001015	P	vacuole organization	GO:0007033	ORF|Verified	True
16933	YHL024W	RIM4	S000001016	P	DNA recombination	GO:0006310	ORF|Verified	True
16934	YHL024W	RIM4	S000001016	P	DNA replication	GO:0006260	ORF|Verified	True
16935	YHL024W	RIM4	S000001016	P	meiotic cell cycle	GO:0051321	ORF|Verified	True
16936	YHL024W	RIM4	S000001016	P	organelle fission	GO:0048285	ORF|Verified	True
16937	YHL024W	RIM4	S000001016	P	sporulation	GO:0043934	ORF|Verified	True
16943	YHL025W	SNF6	S000001017	P	DNA repair	GO:0006281	ORF|Verified	True
16944	YHL025W	SNF6	S000001017	P	carbohydrate metabolic process	GO:0005975	ORF|Verified	True
16945	YHL025W	SNF6	S000001017	P	cellular response to DNA damage stimulus	GO:0006974	ORF|Verified	True
16946	YHL025W	SNF6	S000001017	P	chromatin organization	GO:0006325	ORF|Verified	True
16947	YHL025W	SNF6	S000001017	P	oligosaccharide metabolic process	GO:0009311	ORF|Verified	True
16948	YHL025W	SNF6	S000001017	P	rRNA processing	GO:0006364	ORF|Verified	True
16949	YHL025W	SNF6	S000001017	P	ribosomal large subunit biogenesis	GO:0042273	ORF|Verified	True
16950	YHL025W	SNF6	S000001017	P	transcription from RNA polymerase I promoter	GO:0006360	ORF|Verified	True
16951	YHL025W	SNF6	S000001017	P	transcription from RNA polymerase II promoter	GO:0006366	ORF|Verified	True
16958	YHL027W	RIM101	S000001019	P	cell wall organization or biogenesis	GO:0071554	ORF|Verified	True
16959	YHL027W	RIM101	S000001019	P	cytokinesis	GO:0000910	ORF|Verified	True
16960	YHL027W	RIM101	S000001019	P	meiotic cell cycle	GO:0051321	ORF|Verified	True
16961	YHL027W	RIM101	S000001019	P	mitotic cell cycle	GO:0000278	ORF|Verified	True
16962	YHL027W	RIM101	S000001019	P	organelle fission	GO:0048285	ORF|Verified	True
16963	YHL027W	RIM101	S000001019	P	regulation of cell cycle	GO:0051726	ORF|Verified	True
16964	YHL027W	RIM101	S000001019	P	response to chemical	GO:0042221	ORF|Verified	True
16965	YHL027W	RIM101	S000001019	P	sporulation	GO:0043934	ORF|Verified	True
16966	YHL027W	RIM101	S000001019	P	transcription from RNA polymerase II promoter	GO:0006366	ORF|Verified	True
16972	YHL028W	WSC4	S000001020	P	protein targeting	GO:0006605	ORF|Verified	True
16973	YHL028W	WSC4	S000001020	P	response to heat	GO:0009408	ORF|Verified	True
16980	YHL030W	ECM29	S000001022	P	protein complex biogenesis	GO:0070271	ORF|Verified	True
16989	YHL031C	GOS1	S000001023	P	Golgi vesicle transport	GO:0048193	ORF|Verified	True
16990	YHL031C	GOS1	S000001023	P	membrane fusion	GO:0061025	ORF|Verified	True
16991	YHL031C	GOS1	S000001023	P	organelle fusion	GO:0048284	ORF|Verified	True
16992	YHL031C	GOS1	S000001023	P	vesicle organization	GO:0016050	ORF|Verified	True
16997	YHL032C	GUT1	S000001024	P	carbohydrate metabolic process	GO:0005975	ORF|Verified	True
17002	YHL033C	RPL8A	S000001025	P	cytoplasmic translation	GO:0002181	ORF|Verified	True
17003	YHL033C	RPL8A	S000001025	P	rRNA processing	GO:0006364	ORF|Verified	True
17004	YHL033C	RPL8A	S000001025	P	ribosomal large subunit biogenesis	GO:0042273	ORF|Verified	True
17010	YHL034C	SBP1	S000001026	P	regulation of translation	GO:0006417	ORF|Verified	True
17022	YHL035C	VMR1	S000001027	P	response to chemical	GO:0042221	ORF|Verified	True
17027	YHL036W	MUP3	S000001028	P	amino acid transport	GO:0006865	ORF|Verified	True
17028	YHL036W	MUP3	S000001028	P	ion transport	GO:0006811	ORF|Verified	True
17035	YHL038C	CBP2	S000001030	P	RNA splicing	GO:0008380	ORF|Verified	True
17039	YHL039W	EFM1	S000001031	P	peptidyl-amino acid modification	GO:0018193	ORF|Verified	True
17040	YHL039W	EFM1	S000001031	P	protein alkylation	GO:0008213	ORF|Verified	True
17059	YHL043W	ECM34	S000001035	P	biological_process	GO:0008150	ORF|Verified	True
17069	YHL046C	PAU13	S000001038	P	biological_process	GO:0008150	ORF|Verified	True
17078	YHL047C	ARN2	S000001039	P	cellular ion homeostasis	GO:0006873	ORF|Verified	True
17079	YHL047C	ARN2	S000001039	P	cofactor metabolic process	GO:0051186	ORF|Verified	True
17090	YHL048W	COS8	S000001040	P	endosomal transport	GO:0016197	ORF|Verified	True
17091	YHL048W	COS8	S000001040	P	protein targeting	GO:0006605	ORF|Verified	True
17092	YHL048W	COS8	S000001040	P	proteolysis involved in cellular protein catabolic process	GO:0051603	ORF|Verified	True
17109	YHR001W	OSH7	S000001043	P	endocytosis	GO:0006897	ORF|Verified	True
17110	YHR001W	OSH7	S000001043	P	endosomal transport	GO:0016197	ORF|Verified	True
17111	YHR001W	OSH7	S000001043	P	exocytosis	GO:0006887	ORF|Verified	True
17112	YHR001W	OSH7	S000001043	P	lipid metabolic process	GO:0006629	ORF|Verified	True
17113	YHR001W	OSH7	S000001043	P	lipid transport	GO:0006869	ORF|Verified	True
17120	YHR001W-A	QCR10	S000003529	P	cellular respiration	GO:0045333	ORF|Verified	True
17121	YHR001W-A	QCR10	S000003529	P	generation of precursor metabolites and energy	GO:0006091	ORF|Verified	True
17122	YHR001W-A	QCR10	S000003529	P	nucleobase-containing small molecule metabolic process	GO:0055086	ORF|Verified	True
17128	YHR002W	LEU5	S000001044	P	ion transport	GO:0006811	ORF|Verified	True
17129	YHR002W	LEU5	S000001044	P	nucleobase-containing compound transport	GO:0015931	ORF|Verified	True
17135	YHR003C	TCD1	S000001045	P	RNA modification	GO:0009451	ORF|Verified	True
17136	YHR003C	TCD1	S000001045	P	tRNA processing	GO:0008033	ORF|Verified	True
17143	YHR004C	NEM1	S000001046	P	lipid metabolic process	GO:0006629	ORF|Verified	True
17144	YHR004C	NEM1	S000001046	P	nucleus organization	GO:0006997	ORF|Verified	True
17145	YHR004C	NEM1	S000001046	P	protein dephosphorylation	GO:0006470	ORF|Verified	True
17153	YHR005C	GPA1	S000001047	P	conjugation	GO:0000746	ORF|Verified	True
17154	YHR005C	GPA1	S000001047	P	nuclear transport	GO:0051169	ORF|Verified	True
17155	YHR005C	GPA1	S000001047	P	nucleus organization	GO:0006997	ORF|Verified	True
17156	YHR005C	GPA1	S000001047	P	organelle fusion	GO:0048284	ORF|Verified	True
17157	YHR005C	GPA1	S000001047	P	regulation of transport	GO:0051049	ORF|Verified	True
17158	YHR005C	GPA1	S000001047	P	response to chemical	GO:0042221	ORF|Verified	True
17159	YHR005C	GPA1	S000001047	P	signaling	GO:0023052	ORF|Verified	True
17166	YHR005C-A	TIM10	S000003530	P	mitochondrion organization	GO:0007005	ORF|Verified	True
17167	YHR005C-A	TIM10	S000003530	P	protein targeting	GO:0006605	ORF|Verified	True
17168	YHR005C-A	TIM10	S000003530	P	transmembrane transport	GO:0055085	ORF|Verified	True
17173	YHR006W	STP2	S000001048	P	transcription from RNA polymerase II promoter	GO:0006366	ORF|Verified	True
17178	YHR007C	ERG11	S000001049	P	lipid metabolic process	GO:0006629	ORF|Verified	True
17185	YHR008C	SOD2	S000001050	P	response to chemical	GO:0042221	ORF|Verified	True
17186	YHR008C	SOD2	S000001050	P	response to oxidative stress	GO:0006979	ORF|Verified	True
17191	YHR009C	TDA3	S000001051	P	endosomal transport	GO:0016197	ORF|Verified	True
17196	YHR010W	RPL27A	S000001052	P	cytoplasmic translation	GO:0002181	ORF|Verified	True
17200	YHR011W	DIA4	S000001053	P	cellular amino acid metabolic process	GO:0006520	ORF|Verified	True
17201	YHR011W	DIA4	S000001053	P	mitochondrial translation	GO:0032543	ORF|Verified	True
17202	YHR011W	DIA4	S000001053	P	mitochondrion organization	GO:0007005	ORF|Verified	True
17203	YHR011W	DIA4	S000001053	P	tRNA aminoacylation for protein translation	GO:0006418	ORF|Verified	True
17209	YHR012W	VPS29	S000001054	P	endosomal transport	GO:0016197	ORF|Verified	True
17213	YHR013C	ARD1	S000001055	P	chromatin organization	GO:0006325	ORF|Verified	True
17214	YHR013C	ARD1	S000001055	P	histone modification	GO:0016570	ORF|Verified	True
17215	YHR013C	ARD1	S000001055	P	peptidyl-amino acid modification	GO:0018193	ORF|Verified	True
17216	YHR013C	ARD1	S000001055	P	protein acylation	GO:0043543	ORF|Verified	True
17221	YHR014W	SPO13	S000001056	P	chromosome segregation	GO:0007059	ORF|Verified	True
17222	YHR014W	SPO13	S000001056	P	meiotic cell cycle	GO:0051321	ORF|Verified	True
17223	YHR014W	SPO13	S000001056	P	organelle fission	GO:0048285	ORF|Verified	True
17224	YHR014W	SPO13	S000001056	P	regulation of cell cycle	GO:0051726	ORF|Verified	True
17225	YHR014W	SPO13	S000001056	P	regulation of organelle organization	GO:0033043	ORF|Verified	True
17228	YHR015W	MIP6	S000001057	P	nuclear transport	GO:0051169	ORF|Verified	True
17229	YHR015W	MIP6	S000001057	P	nucleobase-containing compound transport	GO:0015931	ORF|Verified	True
17234	YHR016C	YSC84	S000001058	P	cytoskeleton organization	GO:0007010	ORF|Verified	True
17235	YHR016C	YSC84	S000001058	P	endocytosis	GO:0006897	ORF|Verified	True
17241	YHR017W	YSC83	S000001059	P	biological_process	GO:0008150	ORF|Verified	True
17244	YHR018C	ARG4	S000001060	P	cellular amino acid metabolic process	GO:0006520	ORF|Verified	True
17247	YHR019C	DED81	S000001061	P	cellular amino acid metabolic process	GO:0006520	ORF|Verified	True
17248	YHR019C	DED81	S000001061	P	tRNA aminoacylation for protein translation	GO:0006418	ORF|Verified	True
17252	YHR020W	YHR020W	S000001062	P	cellular amino acid metabolic process	GO:0006520	ORF|Verified	True
17253	YHR020W	YHR020W	S000001062	P	tRNA aminoacylation for protein translation	GO:0006418	ORF|Verified	True
17258	YHR021C	RPS27B	S000001063	P	cytoplasmic translation	GO:0002181	ORF|Verified	True
17259	YHR021C	RPS27B	S000001063	P	organelle assembly	GO:0070925	ORF|Verified	True
17260	YHR021C	RPS27B	S000001063	P	rRNA processing	GO:0006364	ORF|Verified	True
17261	YHR021C	RPS27B	S000001063	P	ribosomal small subunit biogenesis	GO:0042274	ORF|Verified	True
17262	YHR021C	RPS27B	S000001063	P	ribosome assembly	GO:0042255	ORF|Verified	True
17278	YHR023W	MYO1	S000001065	P	cytokinesis	GO:0000910	ORF|Verified	True
17279	YHR023W	MYO1	S000001065	P	cytoskeleton organization	GO:0007010	ORF|Verified	True
17284	YHR024C	MAS2	S000001066	P	mitochondrion organization	GO:0007005	ORF|Verified	True
17285	YHR024C	MAS2	S000001066	P	protein maturation	GO:0051604	ORF|Verified	True
17286	YHR024C	MAS2	S000001066	P	protein targeting	GO:0006605	ORF|Verified	True
17290	YHR025W	THR1	S000001067	P	cellular amino acid metabolic process	GO:0006520	ORF|Verified	True
17297	YHR026W	VMA16	S000001068	P	cellular ion homeostasis	GO:0006873	ORF|Verified	True
17305	YHR027C	RPN1	S000001069	P	proteolysis involved in cellular protein catabolic process	GO:0051603	ORF|Verified	True
17311	YHR028C	DAP2	S000001070	P	protein maturation	GO:0051604	ORF|Verified	True
17317	YHR029C	YHI9	S000001071	P	response to chemical	GO:0042221	ORF|Verified	True
17318	YHR029C	YHI9	S000001071	P	signaling	GO:0023052	ORF|Verified	True
17327	YHR030C	SLT2	S000001072	P	RNA splicing	GO:0008380	ORF|Verified	True
17328	YHR030C	SLT2	S000001072	P	cell wall organization or biogenesis	GO:0071554	ORF|Verified	True
17329	YHR030C	SLT2	S000001072	P	cytokinesis	GO:0000910	ORF|Verified	True
17330	YHR030C	SLT2	S000001072	P	mRNA processing	GO:0006397	ORF|Verified	True
17331	YHR030C	SLT2	S000001072	P	mitotic cell cycle	GO:0000278	ORF|Verified	True
17332	YHR030C	SLT2	S000001072	P	nuclear transport	GO:0051169	ORF|Verified	True
17333	YHR030C	SLT2	S000001072	P	protein complex biogenesis	GO:0070271	ORF|Verified	True
17334	YHR030C	SLT2	S000001072	P	protein phosphorylation	GO:0006468	ORF|Verified	True
17335	YHR030C	SLT2	S000001072	P	protein targeting	GO:0006605	ORF|Verified	True
17336	YHR030C	SLT2	S000001072	P	regulation of cell cycle	GO:0051726	ORF|Verified	True
17337	YHR030C	SLT2	S000001072	P	regulation of transport	GO:0051049	ORF|Verified	True
17338	YHR030C	SLT2	S000001072	P	response to chemical	GO:0042221	ORF|Verified	True
17339	YHR030C	SLT2	S000001072	P	signaling	GO:0023052	ORF|Verified	True
17345	YHR031C	RRM3	S000001073	P	DNA replication	GO:0006260	ORF|Verified	True
17346	YHR031C	RRM3	S000001073	P	mitochondrion organization	GO:0007005	ORF|Verified	True
17347	YHR031C	RRM3	S000001073	P	regulation of DNA metabolic process	GO:0051052	ORF|Verified	True
17353	YHR032W	ERC1	S000001074	P	cofactor metabolic process	GO:0051186	ORF|Verified	True
17363	YHR034C	PIH1	S000001076	P	protein folding	GO:0006457	ORF|Verified	True
17364	YHR034C	PIH1	S000001076	P	rRNA processing	GO:0006364	ORF|Verified	True
17367	YHR035W	NEL1	S000001077	P	biological_process	GO:0008150	ORF|Verified	True
17374	YHR036W	BRL1	S000001078	P	nuclear transport	GO:0051169	ORF|Verified	True
17375	YHR036W	BRL1	S000001078	P	nucleobase-containing compound transport	GO:0015931	ORF|Verified	True
17376	YHR036W	BRL1	S000001078	P	nucleus organization	GO:0006997	ORF|Verified	True
17380	YHR037W	PUT2	S000001079	P	cellular amino acid metabolic process	GO:0006520	ORF|Verified	True
17385	YHR038W	RRF1	S000001080	P	mitochondrial translation	GO:0032543	ORF|Verified	True
17386	YHR038W	RRF1	S000001080	P	mitochondrion organization	GO:0007005	ORF|Verified	True
17392	YHR039C	MSC7	S000001081	P	DNA recombination	GO:0006310	ORF|Verified	True
17393	YHR039C	MSC7	S000001081	P	meiotic cell cycle	GO:0051321	ORF|Verified	True
17394	YHR039C	MSC7	S000001081	P	organelle fission	GO:0048285	ORF|Verified	True
17401	YHR039C-A	VMA10	S000002100	P	cellular ion homeostasis	GO:0006873	ORF|Verified	True
17408	YHR041C	SRB2	S000001083	P	DNA-templated transcription, initiation	GO:0006352	ORF|Verified	True
17409	YHR041C	SRB2	S000001083	P	response to chemical	GO:0042221	ORF|Verified	True
17410	YHR041C	SRB2	S000001083	P	transcription from RNA polymerase II promoter	GO:0006366	ORF|Verified	True
17416	YHR042W	NCP1	S000001084	P	lipid metabolic process	GO:0006629	ORF|Verified	True
17421	YHR043C	DOG2	S000001085	P	carbohydrate metabolic process	GO:0005975	ORF|Verified	True
17425	YHR044C	DOG1	S000001086	P	carbohydrate metabolic process	GO:0005975	ORF|Verified	True
17435	YHR046C	INM1	S000001088	P	carbohydrate metabolic process	GO:0005975	ORF|Verified	True
17440	YHR047C	AAP1	S000001089	P	carbohydrate metabolic process	GO:0005975	ORF|Verified	True
17441	YHR047C	AAP1	S000001089	P	generation of precursor metabolites and energy	GO:0006091	ORF|Verified	True
17452	YHR049W	FSH1	S000001091	P	biological_process	GO:0008150	ORF|Verified	True
17460	YHR050W	SMF2	S000001092	P	cellular ion homeostasis	GO:0006873	ORF|Verified	True
17461	YHR050W	SMF2	S000001092	P	ion transport	GO:0006811	ORF|Verified	True
17471	YHR051W	COX6	S000001093	P	cellular respiration	GO:0045333	ORF|Verified	True
17472	YHR051W	COX6	S000001093	P	generation of precursor metabolites and energy	GO:0006091	ORF|Verified	True
17473	YHR051W	COX6	S000001093	P	nucleobase-containing small molecule metabolic process	GO:0055086	ORF|Verified	True
17484	YHR053C	CUP1-1	S000001095	P	response to chemical	GO:0042221	ORF|Verified	True
17485	YHR053C	CUP1-1	S000001095	P	response to oxidative stress	GO:0006979	ORF|Verified	True
17495	YHR055C	CUP1-2	S000001097	P	response to chemical	GO:0042221	ORF|Verified	True
17496	YHR055C	CUP1-2	S000001097	P	response to oxidative stress	GO:0006979	ORF|Verified	True
17501	YHR056C	RSC30	S000001098	P	DNA repair	GO:0006281	ORF|Verified	True
17502	YHR056C	RSC30	S000001098	P	DNA-templated transcription, elongation	GO:0006354	ORF|Verified	True
17503	YHR056C	RSC30	S000001098	P	cellular response to DNA damage stimulus	GO:0006974	ORF|Verified	True
17504	YHR056C	RSC30	S000001098	P	chromatin organization	GO:0006325	ORF|Verified	True
17505	YHR056C	RSC30	S000001098	P	transcription from RNA polymerase II promoter	GO:0006366	ORF|Verified	True
17512	YHR057C	CPR2	S000001099	P	biological_process	GO:0008150	ORF|Verified	True
17515	YHR058C	MED6	S000001100	P	DNA-templated transcription, initiation	GO:0006352	ORF|Verified	True
17516	YHR058C	MED6	S000001100	P	transcription from RNA polymerase II promoter	GO:0006366	ORF|Verified	True
17520	YHR059W	FYV4	S000001101	P	biological_process	GO:0008150	ORF|Verified	True
17527	YHR060W	VMA22	S000001102	P	cellular ion homeostasis	GO:0006873	ORF|Verified	True
17528	YHR060W	VMA22	S000001102	P	protein complex biogenesis	GO:0070271	ORF|Verified	True
17535	YHR061C	GIC1	S000001103	P	chromatin organization	GO:0006325	ORF|Verified	True
17536	YHR061C	GIC1	S000001103	P	cytoskeleton organization	GO:0007010	ORF|Verified	True
17537	YHR061C	GIC1	S000001103	P	mitotic cell cycle	GO:0000278	ORF|Verified	True
17538	YHR061C	GIC1	S000001103	P	organelle fission	GO:0048285	ORF|Verified	True
17539	YHR061C	GIC1	S000001103	P	regulation of cell cycle	GO:0051726	ORF|Verified	True
17540	YHR061C	GIC1	S000001103	P	regulation of organelle organization	GO:0033043	ORF|Verified	True
17547	YHR062C	RPP1	S000001104	P	RNA catabolic process	GO:0006401	ORF|Verified	True
17548	YHR062C	RPP1	S000001104	P	rRNA processing	GO:0006364	ORF|Verified	True
17549	YHR062C	RPP1	S000001104	P	snoRNA processing	GO:0043144	ORF|Verified	True
17550	YHR062C	RPP1	S000001104	P	tRNA processing	GO:0008033	ORF|Verified	True
17553	YHR063C	PAN5	S000001105	P	cofactor metabolic process	GO:0051186	ORF|Verified	True
17554	YHR063C	PAN5	S000001105	P	monocarboxylic acid metabolic process	GO:0032787	ORF|Verified	True
17555	YHR063C	PAN5	S000001105	P	vitamin metabolic process	GO:0006766	ORF|Verified	True
17561	YHR064C	SSZ1	S000001106	P	cytoplasmic translation	GO:0002181	ORF|Verified	True
17562	YHR064C	SSZ1	S000001106	P	rRNA processing	GO:0006364	ORF|Verified	True
17563	YHR064C	SSZ1	S000001106	P	regulation of translation	GO:0006417	ORF|Verified	True
17564	YHR064C	SSZ1	S000001106	P	translational elongation	GO:0006414	ORF|Verified	True
17570	YHR065C	RRP3	S000001107	P	rRNA processing	GO:0006364	ORF|Verified	True
17571	YHR065C	RRP3	S000001107	P	ribosomal small subunit biogenesis	GO:0042274	ORF|Verified	True
17576	YHR066W	SSF1	S000001108	P	conjugation	GO:0000746	ORF|Verified	True
17577	YHR066W	SSF1	S000001108	P	organelle assembly	GO:0070925	ORF|Verified	True
17578	YHR066W	SSF1	S000001108	P	rRNA processing	GO:0006364	ORF|Verified	True
17579	YHR066W	SSF1	S000001108	P	ribosomal large subunit biogenesis	GO:0042273	ORF|Verified	True
17580	YHR066W	SSF1	S000001108	P	ribosome assembly	GO:0042255	ORF|Verified	True
17584	YHR067W	HTD2	S000001109	P	lipid metabolic process	GO:0006629	ORF|Verified	True
